ins_name,alg_name,repeat,status,runtime
data/TSP/cl/3.tsp,GA-EAX-restart,0,SUCCESS,5.61
data/TSP/cl/3.tsp,GA-EAX-restart,1,SUCCESS,5.78
data/TSP/cl/3.tsp,GA-EAX-restart,2,SUCCESS,5.37
data/TSP/cl/3.tsp,GA-EAX-restart,3,SUCCESS,4.46
data/TSP/cl/3.tsp,GA-EAX-restart,4,SUCCESS,5.65
data/TSP/cl/3.tsp,MAOS,0,SUCCESS,7.40
data/TSP/cl/3.tsp,MAOS,1,SUCCESS,8.74
data/TSP/cl/3.tsp,MAOS,2,SUCCESS,7.76
data/TSP/cl/3.tsp,MAOS,3,SUCCESS,19.91
data/TSP/cl/3.tsp,MAOS,4,SUCCESS,9.80
data/TSP/cl/4.tsp,LKH,0,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH,1,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH,2,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH,3,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH,4,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-restart,0,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-restart,1,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-restart,2,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-restart,3,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-restart,4,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-crossover,0,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-crossover,1,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-crossover,2,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-crossover,3,TIMEOUT,900.00
data/TSP/cl/4.tsp,LKH-crossover,4,TIMEOUT,900.00
data/TSP/cl/4.tsp,GA-EAX,0,TIMEOUT,900.00
data/TSP/cl/4.tsp,GA-EAX,1,TIMEOUT,900.00
data/TSP/cl/4.tsp,GA-EAX,2,TIMEOUT,900.00
data/TSP/cl/4.tsp,GA-EAX,3,SUCCESS,23.10
data/TSP/cl/4.tsp,GA-EAX,4,TIMEOUT,900.00
data/TSP/cl/4.tsp,GA-EAX-restart,0,SUCCESS,56.70
data/TSP/cl/4.tsp,GA-EAX-restart,1,SUCCESS,55.55
data/TSP/cl/4.tsp,GA-EAX-restart,2,SUCCESS,111.88
data/TSP/cl/4.tsp,GA-EAX-restart,3,SUCCESS,23.02
data/TSP/cl/4.tsp,GA-EAX-restart,4,SUCCESS,296.54
data/TSP/cl/4.tsp,MAOS,0,SUCCESS,40.13
