name,Phirea_time,UBC_cheap_time,UBC_time
data/TSP/RUE/188.tsp,0.05,0.06,5.74
data/TSP/RUE/189.tsp,0.079,0.13,12.3
data/TSP/RUE/19.tsp,0.10300000000000001,0.3,22.61
data/TSP/RUE/190.tsp,0.057999999999999996,0.05,4.7
data/TSP/RUE/191.tsp,0.081,0.15,12.81
data/TSP/RUE/192.tsp,0.045,0.05,5.21
data/TSP/RUE/193.tsp,0.049,0.07,6.01
data/TSP/RUE/194.tsp,0.028999999999999998,0.06,3.2
data/TSP/RUE/195.tsp,0.109,0.33,28.05
data/TSP/RUE/196.tsp,0.122,0.32,19.51
data/TSP/RUE/197.tsp,0.046,0.05,5.26
data/TSP/RUE/198.tsp,0.019,0.01,2.09
data/TSP/RUE/199.tsp,0.052000000000000005,0.12,6.35
data/TSP/RUE/2.tsp,0.039,0.05,4.4
data/TSP/RUE/20.tsp,0.09699999999999999,0.19,21.48
data/TSP/RUE/200.tsp,0.073,0.13,11.59
data/TSP/RUE/201.tsp,0.057,0.08,8.66
data/TSP/RUE/202.tsp,0.06,0.11,8.71
data/TSP/RUE/203.tsp,0.09699999999999999,0.17,14.72
data/TSP/RUE/204.tsp,0.028999999999999998,0.02,2.14
data/TSP/RUE/205.tsp,0.07200000000000001,0.18,14.0
data/TSP/RUE/206.tsp,0.091,0.17,19.17
data/TSP/RUE/207.tsp,0.087,0.13,15.26
data/TSP/RUE/208.tsp,0.037000000000000005,0.07,4.18
data/TSP/RUE/209.tsp,0.039,0.08,3.66
data/TSP/RUE/21.tsp,0.079,0.15,14.51
data/TSP/RUE/210.tsp,0.10099999999999999,0.19,20.58
data/TSP/RUE/211.tsp,0.053,0.07,6.08
data/TSP/RUE/212.tsp,0.035,0.04,2.98
data/TSP/RUE/213.tsp,0.059000000000000004,0.1,8.22
data/TSP/RUE/214.tsp,0.077,0.13,11.88
data/TSP/RUE/215.tsp,0.096,0.16,13.45
data/TSP/RUE/216.tsp,0.027000000000000003,0.02,3.22
data/TSP/RUE/217.tsp,0.033,0.05,3.54
data/TSP/RUE/218.tsp,0.08,0.16,9.8
data/TSP/RUE/219.tsp,0.043,0.04,4.62
data/TSP/RUE/22.tsp,0.04,0.05,4.26
data/TSP/RUE/220.tsp,0.055999999999999994,0.08,7.5
data/TSP/RUE/221.tsp,0.079,0.13,11.54
data/TSP/RUE/222.tsp,0.068,0.19,12.35
data/TSP/RUE/223.tsp,0.121,0.2,19.6
data/TSP/RUE/224.tsp,0.091,0.15,14.6
data/TSP/RUE/225.tsp,0.11,0.18,24.26
data/TSP/RUE/226.tsp,0.10400000000000001,0.2,14.72
data/TSP/RUE/227.tsp,0.06,0.08,6.84
data/TSP/RUE/228.tsp,0.039,0.04,3.83
data/TSP/RUE/229.tsp,0.092,0.27,16.17
data/TSP/RUE/23.tsp,0.027999999999999997,0.04,2.63
data/TSP/RUE/230.tsp,0.076,0.18,12.49
data/TSP/RUE/231.tsp,0.026000000000000002,0.05,2.71
data/TSP/RUE/232.tsp,0.043,0.08,4.35
data/TSP/RUE/233.tsp,0.067,0.1,10.14
data/TSP/RUE/234.tsp,0.044000000000000004,0.04,2.87
data/TSP/RUE/235.tsp,0.081,0.15,17.93
data/TSP/RUE/236.tsp,0.054000000000000006,0.07,6.32
data/TSP/RUE/237.tsp,0.05,0.07,5.72
data/TSP/RUE/238.tsp,0.051,0.14,7.81
data/TSP/RUE/239.tsp,0.07200000000000001,0.11,9.7
data/TSP/RUE/24.tsp,0.03,0.02,2.69
data/TSP/RUE/240.tsp,0.10800000000000001,0.28,18.35
data/TSP/RUE/241.tsp,0.057999999999999996,0.07,5.17
data/TSP/RUE/242.tsp,0.05,0.06,5.29
data/TSP/RUE/243.tsp,0.1,0.19,16.14
data/TSP/RUE/244.tsp,0.051,0.07,7.74
data/TSP/RUE/245.tsp,0.07200000000000001,0.1,6.71
data/TSP/RUE/246.tsp,0.043,0.04,4.18
data/TSP/RUE/247.tsp,0.053,0.09,8.35
data/TSP/RUE/248.tsp,0.045,0.06,5.06
data/TSP/RUE/249.tsp,0.054000000000000006,0.07,5.8
data/TSP/RUE/25.tsp,0.07,0.12,10.24
data/TSP/RUE/250.tsp,0.068,0.08,7.21
data/TSP/RUE/251.tsp,0.065,0.12,8.54
data/TSP/RUE/252.tsp,0.048,0.07,4.87
data/TSP/RUE/253.tsp,0.02,0.01,2.22
data/TSP/RUE/254.tsp,0.028999999999999998,0.04,3.44
data/TSP/RUE/255.tsp,0.02,0.03,2.4
data/TSP/RUE/256.tsp,0.033,0.07,3.96
data/TSP/RUE/257.tsp,0.085,0.17,14.56
data/TSP/RUE/258.tsp,0.08800000000000001,0.15,17.0
data/TSP/RUE/259.tsp,0.043,0.04,3.98
data/TSP/RUE/26.tsp,0.049,0.07,5.16
data/TSP/RUE/260.tsp,0.018000000000000002,0.01,1.96
data/TSP/RUE/261.tsp,0.11699999999999999,0.36,21.73
data/TSP/RUE/262.tsp,0.075,0.13,12.53
data/TSP/RUE/263.tsp,0.07200000000000001,0.13,12.59
data/TSP/RUE/264.tsp,0.114,0.36,27.41
data/TSP/RUE/265.tsp,0.023,0.01,2.21
data/TSP/RUE/266.tsp,0.026000000000000002,0.04,2.96
data/TSP/RUE/267.tsp,0.063,0.16,9.78
data/TSP/RUE/268.tsp,0.079,0.22,12.43
data/TSP/RUE/269.tsp,0.034,0.03,3.1
data/TSP/RUE/27.tsp,0.039,0.07,4.19
data/TSP/RUE/270.tsp,0.083,0.16,11.19
data/TSP/RUE/271.tsp,0.09300000000000001,0.18,15.91
data/TSP/RUE/272.tsp,0.026000000000000002,0.02,2.66
data/TSP/RUE/273.tsp,0.039,0.08,4.92
data/TSP/RUE/274.tsp,0.113,0.37,23.44
data/TSP/RUE/275.tsp,0.09,0.14,12.9
data/TSP/RUE/276.tsp,0.077,0.14,18.34
data/TSP/RUE/277.tsp,0.025,0.02,2.98
data/TSP/RUE/278.tsp,0.1,0.28,18.1
data/TSP/RUE/279.tsp,0.027000000000000003,0.02,2.55
data/TSP/RUE/28.tsp,0.075,0.19,13.58
data/TSP/RUE/280.tsp,0.08900000000000001,0.27,18.67
data/TSP/RUE/281.tsp,0.051,0.08,5.07
data/TSP/RUE/282.tsp,0.065,0.1,7.45
data/TSP/RUE/283.tsp,0.10099999999999999,0.19,18.43
data/TSP/RUE/284.tsp,0.025,0.02,2.92
data/TSP/RUE/285.tsp,0.07200000000000001,0.17,11.31
data/TSP/RUE/286.tsp,0.085,0.14,15.74
data/TSP/RUE/287.tsp,0.086,0.16,11.02
data/TSP/RUE/288.tsp,0.038,0.1,4.26
data/TSP/RUE/289.tsp,0.062,0.1,7.44
data/TSP/RUE/29.tsp,0.031,0.03,3.24
data/TSP/RUE/290.tsp,0.052000000000000005,0.1,6.91
data/TSP/RUE/291.tsp,0.037000000000000005,0.05,3.66
data/TSP/RUE/292.tsp,0.095,0.18,19.04
data/TSP/RUE/293.tsp,0.099,0.2,15.82
data/TSP/RUE/294.tsp,0.064,0.08,8.79
data/TSP/RUE/295.tsp,0.046,0.07,6.5
data/TSP/RUE/296.tsp,0.096,0.19,22.78
data/TSP/RUE/297.tsp,0.033,0.04,3.53
data/TSP/RUE/298.tsp,0.045,0.07,5.3
data/TSP/RUE/299.tsp,0.079,0.14,12.19
data/TSP/RUE/3.tsp,0.091,0.15,14.43
data/TSP/RUE/30.tsp,0.031,0.03,3.35
data/TSP/RUE/300.tsp,0.025,0.04,2.14
