ins_name,Phirea_time
data/TSP/RUE/241.tsp,0.058
data/TSP/RUE/242.tsp,0.05
data/TSP/RUE/243.tsp,0.1
data/TSP/RUE/244.tsp,0.051
data/TSP/RUE/245.tsp,0.072
data/TSP/RUE/246.tsp,0.043
data/TSP/RUE/247.tsp,0.053
data/TSP/RUE/248.tsp,0.045
data/TSP/RUE/249.tsp,0.054
data/TSP/RUE/25.tsp,0.07
data/TSP/RUE/250.tsp,0.068
data/TSP/RUE/251.tsp,0.065
data/TSP/RUE/252.tsp,0.048
data/TSP/RUE/253.tsp,0.02
data/TSP/RUE/254.tsp,0.029
data/TSP/RUE/255.tsp,0.02
data/TSP/RUE/256.tsp,0.033
data/TSP/RUE/257.tsp,0.085
data/TSP/RUE/258.tsp,0.088
data/TSP/RUE/259.tsp,0.043
data/TSP/RUE/26.tsp,0.049
data/TSP/RUE/260.tsp,0.018
data/TSP/RUE/261.tsp,0.117
data/TSP/RUE/262.tsp,0.075
data/TSP/RUE/263.tsp,0.072
data/TSP/RUE/264.tsp,0.114
data/TSP/RUE/265.tsp,0.023
data/TSP/RUE/266.tsp,0.026
data/TSP/RUE/267.tsp,0.063
data/TSP/RUE/268.tsp,0.079
data/TSP/RUE/269.tsp,0.034
data/TSP/RUE/27.tsp,0.039
data/TSP/RUE/270.tsp,0.083
data/TSP/RUE/271.tsp,0.093
data/TSP/RUE/272.tsp,0.026
data/TSP/RUE/273.tsp,0.039
data/TSP/RUE/274.tsp,0.113
data/TSP/RUE/275.tsp,0.09
data/TSP/RUE/276.tsp,0.077
data/TSP/RUE/277.tsp,0.025
data/TSP/RUE/278.tsp,0.1
data/TSP/RUE/279.tsp,0.027
data/TSP/RUE/28.tsp,0.075
data/TSP/RUE/280.tsp,0.089
data/TSP/RUE/281.tsp,0.051
data/TSP/RUE/282.tsp,0.065
data/TSP/RUE/283.tsp,0.101
data/TSP/RUE/284.tsp,0.025
data/TSP/RUE/285.tsp,0.072
data/TSP/RUE/286.tsp,0.085
data/TSP/RUE/287.tsp,0.086
data/TSP/RUE/288.tsp,0.038
data/TSP/RUE/289.tsp,0.062
data/TSP/RUE/29.tsp,0.031
data/TSP/RUE/290.tsp,0.052
data/TSP/RUE/291.tsp,0.037
data/TSP/RUE/292.tsp,0.095
data/TSP/RUE/293.tsp,0.099
data/TSP/RUE/294.tsp,0.064
data/TSP/RUE/295.tsp,0.046
data/TSP/RUE/296.tsp,0.096
data/TSP/RUE/297.tsp,0.033
data/TSP/RUE/298.tsp,0.045
data/TSP/RUE/299.tsp,0.079
data/TSP/RUE/3.tsp,0.091
data/TSP/RUE/30.tsp,0.031
data/TSP/RUE/300.tsp,0.025
data/TSP/RUE/301.tsp,0.03
data/TSP/RUE/302.tsp,0.065
data/TSP/RUE/303.tsp,0.079
data/TSP/RUE/304.tsp,0.062
data/TSP/RUE/305.tsp,0.025
data/TSP/RUE/306.tsp,0.077
data/TSP/RUE/307.tsp,0.07
data/TSP/RUE/308.tsp,0.061
data/TSP/RUE/309.tsp,0.084
data/TSP/RUE/31.tsp,0.114
data/TSP/RUE/310.tsp,0.079
data/TSP/RUE/311.tsp,0.036
data/TSP/RUE/312.tsp,0.034
data/TSP/RUE/313.tsp,0.062
data/TSP/RUE/314.tsp,0.032
data/TSP/RUE/315.tsp,0.066
data/TSP/RUE/316.tsp,0.123
data/TSP/RUE/317.tsp,0.037
data/TSP/RUE/318.tsp,0.036
data/TSP/RUE/319.tsp,0.038
data/TSP/RUE/32.tsp,0.072
data/TSP/RUE/320.tsp,0.075
data/TSP/RUE/321.tsp,0.111
data/TSP/RUE/322.tsp,0.076
data/TSP/RUE/323.tsp,0.104
data/TSP/RUE/324.tsp,0.094
data/TSP/RUE/325.tsp,0.058
data/TSP/RUE/326.tsp,0.034
data/TSP/RUE/327.tsp,0.101
data/TSP/RUE/328.tsp,0.095
data/TSP/RUE/329.tsp,0.022
data/TSP/RUE/33.tsp,0.101
data/TSP/RUE/330.tsp,0.022
data/TSP/RUE/331.tsp,0.067
data/TSP/RUE/332.tsp,0.109
data/TSP/RUE/333.tsp,0.083
data/TSP/RUE/334.tsp,0.092
data/TSP/RUE/335.tsp,0.078
data/TSP/RUE/336.tsp,0.079
data/TSP/RUE/337.tsp,0.114
data/TSP/RUE/338.tsp,0.07
data/TSP/RUE/339.tsp,0.084
data/TSP/RUE/34.tsp,0.033
data/TSP/RUE/340.tsp,0.032
data/TSP/RUE/341.tsp,0.074
data/TSP/RUE/342.tsp,0.039
data/TSP/RUE/343.tsp,0.022
data/TSP/RUE/344.tsp,0.066
data/TSP/RUE/345.tsp,0.034
data/TSP/RUE/346.tsp,0.078
data/TSP/RUE/347.tsp,0.084
data/TSP/RUE/348.tsp,0.086
data/TSP/RUE/349.tsp,0.074
data/TSP/RUE/35.tsp,0.042
data/TSP/RUE/350.tsp,0.049
data/TSP/RUE/351.tsp,0.082
data/TSP/RUE/352.tsp,0.089
data/TSP/RUE/353.tsp,0.034
data/TSP/RUE/354.tsp,0.099
data/TSP/RUE/355.tsp,0.041
data/TSP/RUE/356.tsp,0.078
data/TSP/RUE/357.tsp,0.105
data/TSP/RUE/358.tsp,0.061
data/TSP/RUE/359.tsp,0.02
data/TSP/RUE/36.tsp,0.035
data/TSP/RUE/360.tsp,0.042
data/TSP/RUE/361.tsp,0.024
data/TSP/RUE/362.tsp,0.094
data/TSP/RUE/363.tsp,0.117
data/TSP/RUE/364.tsp,0.076
data/TSP/RUE/365.tsp,0.02
data/TSP/RUE/366.tsp,0.063
data/TSP/RUE/367.tsp,0.099
data/TSP/RUE/368.tsp,0.069
data/TSP/RUE/369.tsp,0.06
data/TSP/RUE/37.tsp,0.098
data/TSP/RUE/370.tsp,0.043
data/TSP/RUE/371.tsp,0.084
data/TSP/RUE/372.tsp,0.045
data/TSP/RUE/373.tsp,0.039
data/TSP/RUE/374.tsp,0.092
